epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.0039,0.57773,2.96729,0.9278,0.00362,1,0.45794,0.39616,0.52217,3.65197,0.89193,5.001e-05,5.001e-05,5.001e-05
2,25.6494,0.4326,2.70234,0.90725,0.58223,0.58177,0.67714,0.65308,0.36321,3.05633,0.81129,0.000115535,0.000115535,0.000115535
3,38.085,0.50281,2.11489,0.88553,0.69134,0.99361,0.84767,0.78886,0.36841,2.40495,0.80825,0.000179739,0.000179739,0.000179739
4,49.4623,0.40149,1.72926,0.87806,0.76066,0.94444,0.95116,0.90609,0.35961,1.82054,0.80981,0.000242624,0.000242624,0.000242624
5,60.4329,0.41797,1.39743,0.85852,0.92766,0.88935,0.97833,0.92016,0.35685,1.67025,0.81314,0.000304187,0.000304187,0.000304187
6,71.4852,0.38258,1.24572,0.85935,0.98853,0.95255,0.995,0.91587,0.41273,1.62055,0.82074,0.000364431,0.000364431,0.000364431
7,82.6588,0.41938,1.22135,0.85075,0.98306,0.92344,0.98833,0.92399,0.43054,1.8495,0.82376,0.000423355,0.000423355,0.000423355
8,94.1777,0.37569,1.07977,0.8432,0.98679,0.87394,0.94692,0.8732,0.37204,1.95423,0.82466,0.000480958,0.000480958,0.000480958
9,105.685,0.38937,1.0617,0.85157,0.99093,0.875,0.95748,0.88997,0.39862,1.79108,0.81966,0.000537241,0.000537241,0.000537241
10,116.813,0.40129,1.19253,0.89158,0.98446,0.9375,0.97864,0.90556,0.41679,1.68304,0.82974,0.000592203,0.000592203,0.000592203
11,128.346,0.39058,1.15818,0.87688,0.99187,1,0.995,0.903,0.397,1.52507,0.8152,0.000645846,0.000645846,0.000645846
12,139.667,0.43028,1.05627,0.85139,0.99097,0.99409,0.995,0.89961,0.42494,1.53964,0.81483,0.000698168,0.000698168,0.000698168
13,151.036,0.40224,0.96618,0.85338,0.97155,0.95923,0.995,0.90755,0.40522,1.4577,0.81478,0.00074917,0.00074917,0.00074917
14,162.425,0.39007,1.05635,0.84233,0.98305,1,0.995,0.92459,0.37511,1.35625,0.81441,0.000798851,0.000798851,0.000798851
15,174.208,0.39602,1.07155,0.88126,0.99115,1,0.995,0.9379,0.37327,1.3312,0.80888,0.000847213,0.000847213,0.000847213
16,185.617,0.42349,1.03185,0.88817,0.99011,1,0.995,0.9227,0.39855,1.33865,0.80691,0.000894254,0.000894254,0.000894254
17,196.906,0.41259,0.97379,0.87274,0.98738,1,0.995,0.9391,0.38622,1.35502,0.80845,0.000939975,0.000939975,0.000939975
18,207.952,0.43231,0.92662,0.85148,0.92601,0.99496,0.98833,0.92063,0.38568,1.56377,0.81954,0.000984375,0.000984375,0.000984375
19,219.712,0.39437,0.92784,0.85682,0.91844,1,0.98833,0.9275,0.35422,1.44724,0.80553,0.00102746,0.00102746,0.00102746
20,230.639,0.4063,0.90413,0.86514,0.91089,1,0.995,0.94221,0.34809,1.43716,0.80243,0.00106922,0.00106922,0.00106922
21,241.551,0.41571,0.9244,0.85384,0.96357,1,0.995,0.89587,0.38775,1.59509,0.81345,0.00110966,0.00110966,0.00110966
22,252.508,0.3795,0.86137,0.87001,0.92818,0.9375,0.983,0.91143,0.38539,1.49306,0.81408,0.00114877,0.00114877,0.00114877
23,263.343,0.36756,0.86097,0.86919,0.97009,0.9375,0.98833,0.91327,0.34179,1.40183,0.8034,0.00118657,0.00118657,0.00118657
24,274.24,0.38123,0.88172,0.85129,0.98911,0.94378,0.995,0.95503,0.3357,1.28478,0.79425,0.00122305,0.00122305,0.00122305
25,285.166,0.39638,0.80258,0.84019,0.91507,0.9764,0.995,0.94476,0.34539,1.31465,0.80054,0.00125821,0.00125821,0.00125821
26,296.028,0.38007,0.80836,0.86202,0.96907,1,0.995,0.95261,0.3648,1.14552,0.80523,0.00125442,0.00125442,0.00125442
27,306.896,0.43023,0.79549,0.86353,0.96317,0.99576,0.995,0.94613,0.35841,1.14663,0.80385,0.00123791,0.00123791,0.00123791
28,317.971,0.39392,0.79815,0.85632,0.97904,1,0.995,0.95988,0.34038,1.08158,0.79178,0.00122141,0.00122141,0.00122141
29,329.302,0.39174,0.81242,0.85409,0.98562,1,0.995,0.97931,0.32049,1.07313,0.79268,0.00120491,0.00120491,0.00120491
30,341.321,0.37102,0.78282,0.86121,0.98193,1,0.995,0.93202,0.34281,1.0941,0.79608,0.0011884,0.0011884,0.0011884
31,353.094,0.39173,0.79041,0.84265,0.96835,0.99682,0.995,0.94256,0.35646,1.12054,0.79517,0.0011719,0.0011719,0.0011719
32,365.515,0.42442,0.78903,0.87279,0.95646,0.99546,0.995,0.94963,0.32657,1.19387,0.79237,0.0011554,0.0011554,0.0011554
33,378.92,0.39026,0.73161,0.83661,0.95368,0.9597,0.995,0.94605,0.32469,1.19212,0.78782,0.00113889,0.00113889,0.00113889
34,392.344,0.36038,0.69731,0.85643,0.86374,0.98023,0.995,0.94521,0.33055,1.16534,0.78903,0.00112239,0.00112239,0.00112239
35,406.123,0.36594,0.69483,0.84218,0.90865,0.97869,0.995,0.92787,0.32735,1.12676,0.797,0.00110589,0.00110589,0.00110589
